stimuli_name,Repeat_experiment.thisRepN,Repeat_experiment.thisTrialN,Repeat_experiment.thisN,Repeat_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Repeat_Train.thisRepN,Repeat_Train.thisTrialN,Repeat_Train.thisN,Repeat_Train.thisIndex,Introduction.started,listen_instr.started,key_continue.started,Introduction.stopped,key_continue.keys,key_continue.rt,cross.started,Put_hands.started,Listening_Tap_Instruction_3.started,cue.started,cross_listen.started,beat1.started,cue.stopped,text_3.started,text_3.stopped,cue_tap_imagine.started,cross_imagine.started,text.started,cue_tap_imagine.stopped,cross_imagine.stopped,text.stopped,text_4.started,text_4.stopped,cue_imagine.started,cross_imagine_2.started,text_2.started,cross_imagine_2.stopped,text_2.stopped,Instruction_next_trial.started,Instruction_next_trial.stopped,Listening_Tap_Instruction_3.stopped,cross_listen.stopped,cue_imagine.stopped,participant,session,date,expName,psychopyVersion,frameRate,
audio/exp1/snare_mp2.wav,2,0,2,0,0,1,1,1,0,0,0,0,,,,,,,,,721.3782998040006,723.3783133536638,723.3783974750004,728.1795756406648,728.1781225119994,,,,,,,,,,,,,,,,,,723.3783974750004,738.1779105759997,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,2,0,2,0,0,1,1,1,1,0,1,0,,,,,,,,,,738.1779736226638,738.1779105759997,742.962311919666,742.9778455809974,,,,,,,,,,,,,,,,,,,752.9775657149985,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,2,0,2,0,0,1,1,1,2,0,2,0,,,,,,,,,,752.9776058066639,752.9775657149985,757.7620549436654,757.7775421519982,,,,,,,,,,,,,,,,,,,767.7772267129985,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,2,0,2,0,0,1,1,1,3,0,3,0,,,,,,,,,,767.7772194366664,767.7772267129985,772.561704781667,772.5771462060002,,,,,,,,,,,,,,,,,,,782.5768931439998,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,782.5768931439998,783.5767935059994,783.5768048646644,783.5767935059994,783.5767935059994,788.3766822139987,798.3764364540002,798.3764364540002,798.3764364540002,,799.3785641636644,799.376389402998,799.376389402998,814.176050367998,814.176050367998,814.176050367998,817.1759674459972,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,2,0,2,0,0,2,2,0,0,0,0,0,,,,,,,,,817.1759674459972,819.1760361006639,819.1757528029993,823.9758426856645,823.9757745959978,,,,,,,,,,,,,,,,,,819.1757528029993,833.9755347719984,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,2,0,2,0,0,2,2,0,1,0,1,0,,,,,,,,,,833.9755849706673,833.9755347719984,838.7614440196669,838.7754670239992,,,,,,,,,,,,,,,,,,,848.7751328569975,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,2,0,2,0,0,2,2,0,2,0,2,0,,,,,,,,,,848.7751487456665,848.7751328569975,853.5750902496659,853.5750631249975,,,,,,,,,,,,,,,,,,,863.5748026369984,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,2,0,2,0,0,2,2,0,3,0,3,0,,,,,,,,,,863.5748406256646,863.5748026369984,868.3591961076638,868.374650761998,,,,,,,,,,,,,,,,,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,2,0,2,0,0,2,2,0,,,,,,,,,,,,,,,,,,878.374464190998,879.3743557050002,879.3763399076672,879.3743557050002,879.3743557050002,,,,894.173920115998,,895.1780198506642,895.1740249639988,895.1740249639988,909.9737526690005,909.9737526690005,909.9737526690005,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
