%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
58.0, -3757.261187703751, -1003.8838987212062, 9551.660365064188, -14209.160412449886, -187500.02235174447, -8128.748313039341, -2570.607074571499, -374.0564434595637, 1.002, -0.004, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131188352E9, 0.0, 2023-03-17 14:05:31.188
59.0, -3682.4275472673835, -912.1523394766259, 9624.5717554774, -14098.631036118393, -187500.02235174447, -8042.202358508392, -2489.11261428745, -275.4181951782936, 1.002, -0.004, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131188373E9, 0.0, 2023-03-17 14:05:31.188
60.0, -3699.1690038644083, -905.5585748623104, 9636.19466259416, -14116.55713517155, -187500.02235174447, -8024.030390266227, -2477.4450036817793, -270.9925497761428, 1.002, -0.004, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131195235E9, 0.0, 2023-03-17 14:05:31.195
61.0, -3764.5478563961815, -988.3270845803124, 9571.888693796242, -14223.063197501087, -187500.02235174447, -8105.994237183838, -2561.822839000564, -363.7075857767565, 1.002, -0.004, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131195255E9, 0.0, 2023-03-17 14:05:31.195
62.0, -3772.214504744352, -1018.2784221504238, 9542.518501581968, -14237.413017441395, -187500.02235174447, -8139.27598467779, -2591.2377347037477, -408.9028130653874, 1.002, -0.004, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131203203E9, 0.0, 2023-03-17 14:05:31.203
63.0, -3719.844367485567, -951.9831480959831, 9594.732176629564, -14142.865138395446, -187500.02235174447, -8064.26353028578, -2543.6955742473097, -355.63860602839065, 1.002, -0.004, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131210436E9, 0.0, 2023-03-17 14:05:31.210
64.0, -3700.666570742914, -909.2242609529807, 9632.797197436952, -14115.238382248686, -187500.02235174447, -8027.830186823629, -2496.3769312354248, -292.5396314310588, 1.002, -0.004, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131210453E9, 0.0, 2023-03-17 14:05:31.210
65.0, -3766.2912924636953, -981.889782177184, 9581.209371234105, -14219.643380599426, -187500.02235174447, -8084.670672973475, -2524.5401292491115, -348.6201582694243, 1.002, -0.004, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131217928E9, 0.0, 2023-03-17 14:05:31.217
66.0, -3786.0278828177316, -1036.3162799258566, 9526.045265918407, -14260.34590725254, -187500.02235174447, -8162.946482055961, -2614.192976259348, -397.59283037100204, 1.002, -0.004, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131217974E9, 0.0, 2023-03-17 14:05:31.217
67.0, -3725.298193132662, -962.7119854345304, 9585.053871280417, -14159.964222903756, -187500.02235174447, -8099.646341758531, -2527.6693734728547, -321.68630620077926, 1.01, -0.002, 0.202, 192.0, 31.0, 144.0, 255.0, 240.0, 6.0, 80.0, 0.0, 0.0, 0.0, 1.679087131225868E9, 0.0, 2023-03-17 14:05:31.225
68.0, -3685.1991635798413, -902.7199033164864, 9634.540633504466, -14105.761242599636, -187500.02235174447, -8017.034294251716, -2466.2467797096706, -277.921590557288, 1.01, -0.002, 0.202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131225885E9, 0.0, 2023-03-17 14:05:31.225
