stimuli_name,Repeat_experiment.thisRepN,Repeat_experiment.thisTrialN,Repeat_experiment.thisN,Repeat_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Repeat_Train.thisRepN,Repeat_Train.thisTrialN,Repeat_Train.thisN,Repeat_Train.thisIndex,Introduction.started,Introduction.stopped,listen_instr.started,key_continue.started,key_continue.keys,key_continue.rt,cross.started,Put_hands.started,Listening_Tap_Instruction_3.started,cue.started,cross_listen.started,beat1.started,cue.stopped,cross_listen.stopped,Tap_Imagine_instruction_2.started,Tap_Imagine_instruction_2.stopped,cue_tap_imagine.started,cross_imagine.started,cue_tap_imagine.stopped,cross_imagine.stopped,Imagine_instruction_2.started,cue_imagine.started,cross_imagine_2.started,Instruction_next_trial.started,cue_imagine.stopped,Imagine_instruction_2.stopped,cross_imagine_2.stopped,Instruction_next_trial.stopped,Listening_Tap_Instruction_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,1,0,1,0,,,,,,,,,,1203.549824531667,1203.5543976350018,1208.3331661606683,1208.3496269730022,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,2,0,2,0,,,,,,,,,,1218.3540640696704,1218.3492965410042,1223.1532795516725,1223.149349530002,1233.1494442620024,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,3,0,3,0,,,,,,,,,,1233.1491034836693,1233.1494442620024,1237.9323361936733,1237.9489607720025,1247.9487553500003,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,,,,,,,,,,,,,,,,,,,1247.9487553500003,,1255.9494883406699,1255.9484541190031,,,1270.7479704450016,1278.752263609673,1278.7478398670064,1293.547644986007,,,1293.547644986007,1297.5474665110014,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,3,0,3,0,0,2,2,0,0,0,0,0,,,,,,,,,1297.5474665110014,1301.5482027916698,1301.5473143000054,1306.3474750556672,1306.3471961460018,1316.347047217001,,,,,,,,,,,,,,,1301.5473143000054,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,3,0,3,0,0,2,2,0,1,0,1,0,,,,,,,,,,1316.346913184669,1316.347047217001,1321.1302709396734,1321.1467509430004,1331.150770736007,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,3,0,3,0,0,2,2,0,2,0,2,0,,,,,,,,,,1331.1465912036695,1331.150770736007,1335.9297644826695,,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,3,0,3,0,0,2,2,0,3,0,3,0,,,,,,,,,,1345.9628129206724,1345.962883459004,1350.745938883669,1350.7638398550043,1360.7625517030028,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,3,0,3,0,0,2,2,0,,,,,,,,,,,,,,,,,,,1360.7625517030028,1368.7624870020009,1368.7622728896715,1368.7624870020009,1373.5624016250003,1383.5622222260063,1383.5622222260063,1391.5617870016688,1391.5618387440045,1406.365580978003,1396.3617452720064,1391.5618387440045,1406.365580978003,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,4,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,1410.3779634070015,1414.3649061686704,1414.3611020690005,1419.1474321906683,,1429.1666041670032,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
