stimuli_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Introduction.started,listen_instr.started,key_continue.started,Introduction.stopped,key_continue.keys,key_continue.rt,cross.started,cue.started,cross_listen.started,beat1.started,cue.stopped,Instruction_next_trial.started,beat1.stopped,Instruction_next_trial.stopped,cross_listen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
audio/exp0/snare_iso.wav,7,0,7,0,0,4,4,5,,,,,,,,646.730445864667,646.7274329440006,650.7110169866667,,658.7427498309999,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_mp1.wav,7,0,7,0,0,5,5,3,,,,,,,,659.7426886926671,659.7426427110004,663.7259578286669,663.7425082939999,671.7463491389999,671.725775594,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
,7,0,7,0,,,,,,,,,,,,,,,,,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_mp2.wav,8,0,8,0,0,0,0,1,,,,,,,,672.7423769136669,672.7495916799999,676.7258817576669,676.7439639969998,684.742054022,684.7253856980005,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_mp2.wav,8,0,8,0,0,1,1,4,,,,,,,,685.7421139006667,685.7442925710002,689.7122599366669,689.7419288500005,697.7416463810005,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_iso.wav,8,0,8,0,0,2,2,2,,,,,,,,698.7417039756667,698.741682934,702.7248924556673,,710.74142115,710.7247197570005,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_mp1.wav,8,0,8,0,0,3,3,3,,,,,,,,711.7414507086671,711.7413890670005,715.7290909346668,715.7412540570003,723.7410067290002,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_iso.wav,8,0,8,0,0,4,4,5,,,,,,,,724.7410674506666,724.7410686490002,728.724233578667,728.7435438660004,736.7442597999998,736.7241052360005,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_mp1.wav,8,0,8,0,0,5,5,0,,,,,,,,737.7406497276672,737.7424405940001,741.7239377496664,741.7406214399998,749.7236831099999,,750.7314012850002,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
,8,0,8,0,,,,,,,,,,,,,,,,,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_iso.wav,9,0,9,0,0,0,0,5,,,,,,,,750.7245273796664,750.7314012850002,754.7236751436669,754.7281333740002,762.7232932490006,,763.7233192800004,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_mp2.wav,9,0,9,0,0,1,1,1,,,,,,,,763.7259352976664,763.7233192800004,767.7232080566666,,775.7250033199998,,,775.7250033199998,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_mp1.wav,9,0,9,0,0,2,2,0,,,,,,,,776.7418892216667,776.7396665570004,780.7224252356666,780.7555229529999,788.738819403,788.7221836180006,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_mp2.wav,9,0,9,0,0,3,3,4,,,,,,,,789.7387849866666,789.7387420430005,793.7219685586672,793.7384890740004,,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_mp1.wav,9,0,9,0,0,4,4,3,,,,,,,,813.1210613453333,815.2094069490004,813.1210613453333,,815.2438052550006,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
,,,,,,,,,,,,,,,,815.7698859050004,815.764134692,,,,,,,,,,,,,
